국가,도시,관광지명,캐치프레이즈,카테고리
"베트남","닌빈","-","석회암 카르스트 지형으로 육지의 하롱베이라 불리는 닌빈","city"
"베트남","다낭","-","베트남 중부 최대 항구도시 다낭","city"
"베트남","무이네","-","붉은 모래언덕과 하얀 모래언덕이 공존하는 무이네","city"
"베트남","하노이","-","베트남의 수도이자 1000년 역사를 가진 하노이","city"
"베트남","하롱베이","-","3000여개의 섬과 바위가 떠있는 하롱베이","city"
"베트남","호이안","-","15세기 고대 무역항의 모습을 간직한 호이안","city"
"베트남","호치민","-","베트남 최대 상업도시 호치민","city"
"베트남","나트랑","-","베트남 최고의 해변 휴양도시 나트랑","city"
"슬로바키아","슬로바키아","-","중세 성곽과 산악지대로 이루어진 슬로바키아","city"
"아랍에미리트","두바이","-","사막 위에 세워진 미래형 도시 두바이","city"
"아랍에미리트","아부다비","-","UAE의 수도이자 석유의 도시 아부다비","city"
"영국","런던","-","템스강이 흐르는 영국의 수도 런던","city"
"영국","스트랫퍼드어폰에이번","-","셰익스피어의 고향 스트랫퍼드어폰에이번","city"
"영국","옥스포드","-","900년 전통의 대학도시 옥스포드","city"
"오스트리아","비엔나","-","다뉴브강변의 음악의 도시 비엔나","city"
"오스트리아","잘츠부르크","-","모차르트의 고향 잘츠부르크","city"
"오스트리아","할슈타트","-","소금으로 번영한 호수마을 할슈타트","city"
"이탈리아","로마","-","7개의 언덕 위에 세워진 영원한 도시 로마","city"
"일본","구마모토","-","400년 역사의 성곽도시 구마모토","city"
"일본","벳부","-","일본 최대 온천 용출량을 자랑하는 온천의 고장 벳부","city"
"일본","오사카","-","일본 제2의 도시이자 간사이 지역의 경제 중심지 오사카","city"
"일본","후쿠오카","-","규슈 최대 도시이자 아시아 관문 도시 후쿠오카","city"
"중국","광저우","-","2천년 역사를 가진 중국 남부 최대 상업도시 광저우","city"
"중국","도문","-","북한과 국경을 접하고 있는 두만강변의 국경도시 도문","city"
"중국","상해","-","중국 최대 경제도시이자 동방의 파리로 불리는 상해","city"
"중국","연길","-","조선족자치주의 수도이자 백두산 관광의 거점도시 연길","city"
"중국","용정","-","윤동주 시인의 고향이자 조선족 문화의 중심지 용정","city"
"중국","우전","-","차 문화의 발상지이자 천년 고찰이 있는 우전","city"
"중국","이도백하","-","백두산 천지 관광의 출발점이 되는 이도백하","city"
"중국","천저우","-","1300년 역사를 가진 해상 실크로드의 출발지 천저우","city"
"체코","체스키크롬로프","-","13세기 중세 모습을 그대로 간직한 체스키크롬로프","city"
"체코","프라하","-","천년의 역사를 지닌 보헤미아의 수도 프라하","city"
"태국","파타야","-","태국 동부 연안의 대표적인 해변 휴양도시 파타야","city"
"베트남","닌빈","땀꼭","소형 보트를 타고 동굴을 지나는 땀꼭","spot"
"베트남","닌빈","짱안","세계문화유산으로 지정된 짱안","spot"
"베트남","닌빈","바이딘 사원","베트남 최대 규모의 불교 사원 바이딘 사원","spot"
"베트남","닌빈","항무아","500개의 계단으로 이루어진 항무아","spot"
"베트남","다낭","미케 해변","다낭에서 가장 긴 해안선을 가진 미케 해변","spot"
"베트남","다낭","용다리","매주 토일 불을 뿜는 용다리","spot"
"베트남","다낭","한시장","다낭 최대 전통시장 한시장","spot"
"베트남","무이네","요정의 샘","사막 한가운데 자연이 만든 오아시스 요정의 샘","spot"
"베트남","무이네","무이네 어촌 마을","새벽부터 어선이 드나드는 무이네 어촌 마을","spot"
"베트남","하노이","호안끼엠 호수","하노이 시민들의 휴식처 호안끼엠 호수","spot"
"베트남","하노이","문묘 - 국자감","베트남 최초의 대학 문묘 - 국자감","spot"
"베트남","하노이","호치민 묘소","베트남 건국의 아버지가 잠든 호치민 묘소","spot"
"베트남","하노이","36거리","하노이 구시가지 1000년 역사의 36거리","spot"
"베트남","하노이","한기둥사원","1개의 기둥 위에 세워진 한기둥사원","spot"
